commit	date	paths	disposition	reason	decision_threads	evidence_ids
87fc8806a67bac469527ba79d0c463f4354ded2a	2026-06-03T14:08:34+02:00	docs/beautyq-search-dsl-v1.md	deep	RJ — Adds mandatory request-policy ownership in DSL rather than local interpreter constants.	T-06	E-0032
a39bdeeed1b103f9cbb8b706cab86849679e8193	2026-06-03T15:20:05+02:00	docs/search-dsl-domain-onboarding.md	deep	RJ — Full onboarding addition inspected: reusable/domain boundary, current single-domain limit and retrospective happy-path account.	T-02,T-05,T-06,T-07,T-29	E-0033,E-0034,E-0035
a35725347a65fed356f14c1448b8ece8fbc4ca4a	2026-06-03T15:40:28+02:00	docs/beautyq-search-dsl-v1.md;docs/search-dsl-domain-onboarding.md	deep	RJ — Defines evaluation status plus mandatory sequencing and limits on permissible semantic fixes.	T-07,T-15	E-0036
1e0b0f345bea0fe713c366da6d8c156515e1259a	2026-06-03T17:28:19+02:00	AGENTS.md	deep	RJ — Search-specific governance formalizes semantic ownership and constrains evaluation fixes.	T-07,T-15	E-0037,E-0038
8f257ce17213e5058f056860c20399905046f73f	2026-06-03T17:47:19+02:00	docs/beautyq-search-dsl-v1.md;docs/search-dsl-domain-onboarding.md	semantic-scan	RJ — Read both documentary diffs: incremental PMU coverage status, with existing architecture and coverage workflow unchanged.		E-0039
52d330ad9c5f66f08097be1ccb4d0b0349acb650	2026-06-03T18:15:42+02:00	AGENTS.md	deep	RJ — Adds documentary update policy and evidence-derived counts alongside contextual dictionary limits.	T-07	E-0040
51f030b7fade8b560402816570611b9b698cecfd	2026-06-03T18:41:36+02:00	AGENTS.md	deep	RJ — Complete before/after search-governance rewrite read: explicit task modes strengthen restrictions.	T-15,T-16	E-0041
a31fe2e3866dcfa0e40ce0395ee6feecb35c2474	2026-06-03T19:45:53+02:00	docs/beautyq-search-dsl-v1.md;docs/search-dsl-domain-onboarding.md	deep	RJ — Introduces an explicit lexical scope boundary rather than a routine count update.	T-07,T-29	E-0042,E-0043
656586938f65d2db0b21f4dccb3fe30708526b2f	2026-06-03T19:50:42+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Full future vector-backend proposal inspected, including alternatives, disabled default and evaluation gates.	T-08	E-0044,E-0045
c00fdd256a4e40e276b29fe7da1d1b60dd4f58bf	2026-06-03T22:09:42+02:00	AGENTS.md	deep	RJ — Makes vector/embedding isolation and rollout prerequisites binding governance.	T-08,T-14,T-18	E-0046
94148e1fc1f7b9c0e5502f0a4963dfa2ecf85bea	2026-06-04T00:39:10+02:00	docs/beautyq-search-dsl-v1.md;docs/search-dsl-domain-onboarding.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Changes future vector status to a documented separate evaluated backend and strengthens limits on rollout inference.	T-08	E-0047,E-0048
42166e1ef5d30b303ba8b3311f9ab23cfe6b3c2d	2026-06-04T00:55:50+02:00	AGENTS.md	deep	RJ — Defines backend responsibilities and required production-hybrid gates in governance.	T-09	E-0049
3e93410d910492cf84078b9dd199dc1dc651a063	2026-06-04T01:06:15+02:00	docs/search-dsl-hybrid-v1-plan.md	deep	RJ — Entire hybrid proposal inspected, including options A–D and status caveats.	T-08,T-09,T-10	E-0050,E-0051,E-0052
da36eacdefe2f796d12d1d463725304a7c6c6ee3	2026-06-04T02:11:35+02:00	AGENTS.md	deep	RJ — Read full governance rewrite; adds Qdrant/hybrid modes and retains distinct authority and approval boundaries.	T-07,T-09	E-0053
8b1ad589ffaef25e1c1327859e5d24c214b5f9c9	2026-06-04T02:55:34+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Full HTTP inventory read; material Beauty domain compatibility and migration planning.	T-03	E-0054
dbf04507f3e3c878bdaa2c67731fd80cd31e7bce	2026-06-04T03:17:47+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Small change moves a Beauty endpoint from legacy to typed normative status.	T-03	E-0055
2a49c140d0eba447c1d5942e87edc027b26e2163	2026-06-04T03:29:59+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Small change moves category lookup from legacy to typed normative status.	T-03	E-0056
f71d9ec69de687cd2cc7891449e10818e8ded454	2026-06-04T09:43:34+02:00	AGENTS.md;docs/http-legacy-json-contracts.md	deep	RJ — Read full AGENTS consolidation and HTTP inventory update; semantic requirements are added and removed.	T-03	E-0057,E-0058
37fcde2ed5831147c788a106ba8d10d5051ea8f6	2026-06-04T09:58:03+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Material typed-contract transition despite low churn.	T-03	E-0059
1e2cc23c0da7bbf1a185643dba1ca491d27a0bcb	2026-06-04T10:07:17+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Material offer-contract and migration-inventory transition.	T-03	E-0060
b1b5bce5740446bb4f3c3d1b31737c7cbfde2a9c	2026-06-04T10:16:43+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Narrows the inventory scope and changes interpretation of an earlier migration candidate.	T-03	E-0061
787f3a7f30feb346ff9f03d7c4b59f6b056dcee5	2026-06-04T10:26:59+02:00	docs/http-master-service-offer-variant-typed-get-plan.md	deep	RJ — Full variant migration plan read with explicit compatibility and storage/codec non-goals.	T-03,T-30	E-0062
b7417c619a76542ba84bbdc30a2619ff27e0f5c4	2026-06-04T10:47:26+02:00	docs/http-legacy-json-contracts.md	deep	RJ — Closes the documentary Beauty typed migration while retaining an explicit out-of-scope legacy case.	T-03	E-0063,E-0064
2589e53d4f08e1e0dc70f0034b70c0a65c019daa	2026-06-04T12:46:24+02:00	AGENTS.md	deep	RJ — Full governance rewrite inspected, including lifecycle proof discipline and a conflicting endpoint status.	T-01	E-0065
92845defe3de61d451385cde4884a657f93cd226	2026-06-04T15:42:16+02:00	AGENTS.md	deep	RJ — Full governance revision changes verification strength and current documentary status.	T-15	E-0066
be004c777b6770f75250f645d82862da5fc631e9	2026-06-05T00:39:53+02:00	AGENTS.md	deep	RJ — Resource/verification policy distinguishes compile cleanup from runtime environment state.	T-15	E-0067
bd653ad259838838ee2b8f6a16413b1bc667dfac	2026-06-05T01:10:11+02:00	docs/search-dsl-hybrid-v1-plan.md	deep	RJ — New routing-metadata section defines missing authority and safe future integration.	T-09	E-0068
8fdc01feb4e176117b4151fed5cf8f9738e2c59e	2026-06-05T01:54:47+02:00	docs/search-dsl-hybrid-v1-plan.md	deep	RJ — Low-churn changes materially narrow routing eligibility.	T-09	E-0069
00dbf7758a468639cb4d889343568e0a193a8473	2026-06-05T02:45:38+02:00	AGENTS.md;docs/search-dsl-hybrid-v1-plan.md	duplicate	RJ — Full changed-document content inspected; AGENTS and hybrid-plan endpoints are byte-identical to ordinal 90, and this branch patch combines the already inspected changes at ordinals 87–90 (Git documentary diff 91→90 empty).	T-09,T-15	E-0070
d4745ccf708594fa6bab7aed71c69e5693a236a6	2026-06-05T21:31:20+02:00	docs/search-dsl-hybrid-v1-plan.md	deep	RJ — Strengthens the boundary between available experimental seams and production readiness, with missing lifecycle/operational contracts and explicit prohibitions.	T-09	E-0071
ccbc29e7824447c1f325506c4b9f0de638b6b5cc	2026-06-05T21:43:15+02:00	docs/search-dsl-hybrid-v1-plan.md	duplicate	RJ — Inspected full patch; hybrid-plan old/new blob transitions match ordinal 92 (4b9abee0→5792d3ba), and full-path Git comparison is empty.	T-09	E-0072
77a510e13c1da61bc72590fc9a56a3bc5c8ae9fe	2026-06-05T23:29:21+02:00	AGENTS.md	deep	RJ — Introduces a concrete seed-readiness dependency rule and permits user-run full verification, while compressing architecture/status guidance.	T-01,T-04,T-06,T-07,T-10,T-15,T-18,T-44	E-0073,E-0074
5d521fbf82297acf9ab38b57944f2f9b79ceb62d	2026-06-06T00:21:59+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Adds explicit collection identity, compatibility and rollout constraints with a pure-policy next step.	T-11	E-0075
5f80d8f380433537697d600b0c55c4ce2e7b979a	2026-06-06T02:13:52+02:00	AGENTS.md;docs/search-dsl-qdrant-vector-backend.md	duplicate	RJ — Full changed content repeats ordinals 94–95; both changed-path final blobs equal ordinal 95 and the before/after transitions match those inspected patches.	T-01,T-04,T-06,T-07,T-10,T-11,T-15,T-18,T-44	E-0076
6749ca53d42e6cfd997cd77ad7569b34f4dabef3	2026-06-06T10:41:10+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Changes the recommended next step from pure policy to guarded experiment composition and records compatibility-before-snapshot sequencing.	T-11	E-0077
c037f86d8918b82ddd965a26a2c0e6a7f20e5a88	2026-06-06T11:52:13+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Makes experimental readiness ordering and failure behavior explicit, including optional model metadata.	T-11	E-0078
d5ea7fa11e83b93cdfe5e0a151671afd6a1d6685	2026-06-06T12:16:08+02:00	docs/search-dsl-qdrant-vector-backend.md	duplicate	RJ — Full patch combines ordinals 97–98 with matching prior/final blobs; full Qdrant-path comparison against ordinal 98 is empty.	T-11	E-0079
1e888453a3912e08094f9dc4296ebadce855c808	2026-06-06T12:35:25+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Replaces the future-step note with a current experimental architecture and adds source-of-truth, activation, diagnostics and rollout requirements.	T-11,T-12,T-14	E-0080,E-0081,E-0082
17c87180154219284d031326b0538bc3fd800a9f	2026-06-06T16:06:34+02:00	docs/search-dsl-qdrant-vector-backend.md	duplicate	RJ — Entire documentary patch body is byte-identical to ordinal 100, including all hunks and blob transitions.	T-11,T-12,T-14	E-0083
82092d34a4df8f7a95b82f7cf903dcd394c694b7	2026-06-06T16:20:24+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Adds a measured model-choice rationale, proof limitations, benchmark hardening and activation TODOs.	T-08	E-0084
db49d2a6da17281409961479e24f28adec357f27	2026-06-06T16:36:15+02:00	docs/search-dsl-qdrant-vector-backend.md;docs/search-dsl-qdrant-vector-backend.updated.md	deep	RJ — Renames the note and changes immediate direction to no wiring without a real graph consumer, preserving explicit experiment ownership.	T-04,T-08,T-12,T-14	E-0085,E-0086,E-0087
fdf5a5cbd0c89475c94c54c32f8e5646ea2e4d67	2026-06-06T17:43:48+02:00	docs/search-dsl-qdrant-vector-backend.md;docs/search-dsl-qdrant-vector-backend.updated.md	deep	RJ — Returns the note to its original path while defining a generic indexing boundary and point-id constraints.	T-04,T-11	E-0088,E-0089
bf5f5f72d838ba25a3d3e12cf818139105f08f68	2026-06-06T17:57:03+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Adds reusable order-preserving hydration/assembly but conditions further projector work on another-domain need.	T-02,T-29	E-0090
09edade19db0fb6c2aa24f6c8f4c383e317bb484	2026-06-06T18:14:44+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Records a generic projector boundary and explicitly limits what can move out of BeautyQ.	T-02,T-29	E-0091
b6e0b8ace8c630ceb4a6789716bad17c1860e725	2026-06-06T18:21:42+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Separates reusable semantic retrieval from the retained domain adapter and moves next-step scope to lexical results.	T-10	E-0092
65ed4079ae36dde6714c29951e1a6842999bf2bc	2026-06-06T18:38:50+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Extends the declared reusable boundary to lexical hits without moving response policy.	T-10	E-0093
7f4f130921ebbb849b502d62b2ebbe4de9ca94d9	2026-06-06T18:42:00+02:00	docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Defines hybrid channel storage and diagnostics while excluding execution/ranking policy.	T-10	E-0094
5e998c1760a9c1492aa9f9fb679fbd0f38fc5cbe	2026-06-06T18:47:39+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Synchronizes both owners on container-versus-policy boundaries and domain merge design as the next prerequisite.	T-10	E-0095
7edbb56336bf7fb84293179cda4c14105c977fc7	2026-06-06T18:48:31+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	duplicate	RJ — Full two-path patch inspected; it combines earlier Qdrant lineage changes and ordinal 110, with both final blobs identical to ordinal 110.	T-10	E-0096
673f144e2378ab942259f396a56bda604e623205	2026-06-06T18:58:34+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Qualifies genericity and point-id range, adds evidence-validity follow-ups, and conditions further abstractions on concrete need.	T-02,T-08	E-0097,E-0098
9d935e5091973204476b18f53b9f3dd492f1c509	2026-06-06T19:18:34+02:00	docs/search-dsl-qdrant-vector-backend.md	semantic-scan	RJ — Content changes mark already specified diagnostic/benchmark corrections done and update next-step status without introducing a new merge/routing contract.	T-08	E-0099
045df0990beadcd8b9de5a3ba0ad63323076dc14	2026-06-06T19:25:09+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Defines the BeautyQ merge surface and ownership, removes earlier possible zero-hit fallback language and makes pure policy the next gated work.	T-09,T-10	E-0100,E-0101
9317c660c6493400d63cbbf4e43a051e9b25bd84	2026-06-06T19:47:04+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Specifies actual pure merge ordering/deduplication and hydration failure semantics, while making score display a separate decision.	T-10	E-0102
7869f6d3b65b91bf075ea0df89e08dba40788a38	2026-06-06T20:10:09+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Distinguishes display scores and a variant-only response from ranking or full response parity.	T-10	E-0103
28a1b80ae6039ba92e5f834a499f706ae3a09be4	2026-06-06T20:35:20+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Defines domain grouping/order and deliberately leaves response score mapping pending.	T-05,T-10	E-0104
85a54ff0d50902226a0a4d88c2afdb89827c2d13	2026-06-06T20:44:25+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Decides display-only mapping into legacy-named score fields and records explicit adapter limitations.	T-05,T-10	E-0105
12f30629b7ddf5a0578f95272118f693b5c8ca50	2026-06-06T20:50:00+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Adds a pure retrieval-to-response composition contract with diagnostics and propagated hydration failure.	T-10	E-0106
39cc40557ec46620ccb56d42a974ebbec6495d5d	2026-06-06T21:12:38+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Moves beyond pure projection into an injected-backend manual experiment while keeping application activation absent.	T-12	E-0107
146a04495317cee3131e90ea4c2e74bf25789b30	2026-06-06T21:21:07+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Defines explicit experiment activation/wiring ownership and adds prerequisite verification before skeleton wiring.	T-12,T-15	E-0108,E-0109
9a51df6b808f202c9d669409a21cac7f55b4f8d1	2026-06-06T21:31:55+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Records explicit activation factory availability, separates factory from app wiring, and narrows invocation modes.	T-12	E-0110
f2e73682f2c9dc603eaac660cecfa5fa06cb75d1	2026-06-06T21:32:21+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	duplicate	RJ — Full content delta is byte-identical to the composed 111→122 documentary diff, whose component changes 112–122 were inspected; both final document blobs equal ordinal 122.	T-02,T-05,T-10,T-12,T-15	E-0111
d9f03622bcd9c0ec65850297645ed18dc54e7961	2026-06-06T22:44:04+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Adds explicit spec/input-derived response limits and identifies why a by-value factory does not prove resource gating.	T-10,T-12	E-0112,E-0113
63c01d15dac7d540a891f37561073e3fedd732ee	2026-06-06T23:43:04+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Chooses pure thunk construction safety before optional DI adaptation and introduces a bounded second-domain proof requirement.	T-02,T-12	E-0114,E-0115
d124269012795f6dd3fbecd2e24e2bf182143b07	2026-06-07T00:22:48+02:00	AGENTS.md;docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Transfers resource/benchmark guardrails to AGENTS and records factory completion with a caller-side limitation.	T-08,T-10,T-12,T-18	E-0116,E-0117
c55cf19690368f7663c6ef50422d3d0f35c7b429	2026-06-07T01:07:26+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Records a bounded second-domain proof and explicitly rejects interpreting it as a complete generic production engine.	T-02	E-0118
499d64c3710ad9916d8509799348bc098a82eec3	2026-06-07T01:30:27+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Extends proof to fake module graph exclusion while retaining a separate real-resource obligation and deferring implementation.	T-12	E-0119
754b21a05d06e0730ba96fd3d27b76f7167cd1d7	2026-06-07T01:49:52+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Expands named benchmark coverage while restating limits on routing/model-choice conclusions.	T-02,T-08	E-0120
8855e4cc35e17543949a023b346e6f81c4f6afd8	2026-06-07T11:58:24+02:00	docs/search-dsl-hybrid-v1-plan.md;docs/search-dsl-qdrant-vector-backend.md	deep	RJ — Narrows the next real-resource work to a semantic-side manual adapter and separates production blockers from v0 eligibility.	T-03,T-11,T-12	E-0121,E-0122,E-0123
f650eb39358bf37f399ec203021c30c872341620	2026-06-07T14:35:32+02:00	AGENTS.md;docs/codebase-review/01-system-map.md;docs/codebase-review/02-domain-model-guide.md;docs/codebase-review/03-repositories-and-persistence.md;docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/06-tests-and-contracts.md;docs/codebase-review/07-current-gaps-and-roadmap.md;docs/codebase-review/ARCHITECTURE_DECISIONS_OBSERVED.md;docs/codebase-review/INVENTORY.md;docs/codebase-review/PASS_3_AUDIT.md;docs/codebase-review/README.md;docs/codebase-review/REVIEW_NOTES.md	deep	RJ — Creates an architecture-document owner set, qualifies production/search claims, retrospectively interprets decisions and identifies documentary drift; all 13 changed documentary paths read in full.	T-01,T-02,T-03,T-04,T-05,T-06,T-08,T-13,T-14,T-18,T-29,T-44	E-0124,E-0125,E-0126,E-0127,E-0128,E-0129,E-0130,E-0131,E-0132
c6df3381490e630859d429d53c05e28dda55cec4	2026-06-07T14:46:29+02:00	docs/codebase-review/01-system-map.md;docs/codebase-review/03-repositories-and-persistence.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md;docs/codebase-review/PASS_3_AUDIT.md	deep	RJ — Records readiness-rule resolution across owners while preserving the limited original claim.	T-01	E-0133,E-0134
b4903eab695cd71e61bc0dd1b24aeb74b3209658	2026-06-07T14:58:22+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md;docs/codebase-review/ARCHITECTURE_DECISIONS_OBSERVED.md;docs/codebase-review/README.md	deep	RJ — Sets a contract-first simple lexical/backend path and separates seed readiness from production freshness.	T-13,T-19	E-0135,E-0136
ed795cf926edb253b4e5de18a6254ccb6b458a2e	2026-06-07T15:09:42+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — Introduces a concrete unwired search HTTP contract with deliberately limited proof scope.	T-13	E-0137
fef2c89542e0caa9cb213858c424f32057bdfebd	2026-06-07T15:20:19+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — Documents the thin unwired BeautySearchApi adapter, restates that the plugin is unchanged and no production route exists, and redesignates the next step toward a binding proof or readiness design; full documentation portions inspected.	T-13	E-0138
1c7eaf7d043b48e996ff646f92e98fd4abe7bbb2	2026-06-07T15:32:59+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — Records the fake-backend service binding proof, its explicit non-production limits, and narrows the remaining designated step to backend readiness/freshness design.	T-13	E-0139
34e1596da40ffc53f7f5d7ab3c589fad2ac1a4e4	2026-06-07T15:40:39+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — Adds a dedicated catalog snapshot/in-memory readiness-proof section, reiterates it is a startup readiness shape only, and pivots the next step to production app-graph inclusion boundary design.	T-13	E-0140
2b426f2a4395bf0ef24437a7b1e756d4d77255af	2026-06-07T15:50:26+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — Records the test-only complete app-graph boundary proof and renames the next production step to an explicit production app inclusion patch design.	T-13	E-0141
81c58a0cadf1b3b1dc4685be04c7d0c8962d22cc	2026-06-07T15:59:27+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — Names LeaderboardPlugin.modules.api as the production inclusion gate, requires a disabled-by-default inclusion design with explicit acceptance criteria, and records missing rollback/disable plus the Qdrant/hybrid inclusion prohibition.	T-13,T-19,T-21	E-0142,E-0143
98e1ef85f86a21e6e9cffd7aa61ede15ea5792a0	2026-06-07T16:10:26+02:00	docs/codebase-review/04-api-and-http-contracts.md;docs/codebase-review/05-search-and-retrieval-architecture.md;docs/codebase-review/07-current-gaps-and-roadmap.md	deep	RJ — The disabled-by-default inclusion activation/handle gate is now documented as existing but unused; the production-exposure gap statement flips from missing mechanism to mechanism present without production include.	T-13	E-0144
